NDC_Description,NDC,Old_NADAC_Per_Unit,New_NADAC_Per_Unit,Classification_for_Rate_Setting,Percent_Change,Primary_Reason,Start_Date,End_Date
COZAAR 50 MG TABLET,00006095254,3.17967,3.3678,B,5.92%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NUVARING VAGINAL RING,00052027303,117.83656,123.7331,B,5.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
EMEND 80 MG CAPSULE,00006046106,159.97056,174.37593,B,9.01%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
CLORAZEPATE 15 MG TABLET,00378007001,0.43193,2.42219,G,460.78%,Help Desk,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX TWISTHALER 220 MCG #30,00085134107,161.75982,173.34182,B,7.16%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINGULAIR 4 MG GRANULES,00006384130,6.5258,6.91591,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-20 MG TABLET,66582031282,8.29417,9.10953,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
FOSAMAX 70 MG TABLET,00006003144,27.4775,29.10554,B,5.92%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ZETIA 10 MG TABLET,66582041431,8.35885,9.18326,B,9.86%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINGULAIR 10 MG TABLET,00006911754,6.60522,7.00016,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-80 MG TABLET,66582031531,8.22808,9.03691,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ANDROGEL 1.62%(2.5G) GEL PCKT,00051846230,6.29787,6.92135,B,9.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ANDROGEL 1.62% GEL PUMP,00051846233,6.14016,6.74804,B,9.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-40 MG TABLET,66582031331,8.23952,9.04949,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-10 MG TABLET,66582031154,8.28946,9.10434,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HYZAAR 100-25 TABLET,00006074731,4.78973,5.0809,B,6.08%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
INVANZ 1 GM VIAL,00006384371,83.4626,90.05447,B,7.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
PROSCAR 5 MG TABLET,00006007258,4.49673,4.77067,B,6.09%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-80 MG TABLET,66582031574,8.22808,9.03691,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-20 MG TABLET,66582031254,8.29417,9.10953,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HYZAAR 50-12.5 TABLET,00006071731,3.55203,3.76167,B,5.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ZETIA 10 MG TABLET,66582041428,8.35885,9.18326,B,9.86%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
"GRASTEK 2,800 BAU SL TABLET",00006422930,8.006,8.64648,B,8.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX HFA 100 MCG INHALER,00085433301,12.34506,13.2097,B,7.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NITRO-DUR 0.3 MG/HR PATCH,00085331530,4.73467,5.01993,B,6.02%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
COZAAR 100 MG TABLET,00006096031,4.33316,4.5915,B,5.96%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NUVARING VAGINAL RING,00052027301,117.83656,123.7331,B,5.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ZETIA 10 MG TABLET,66582041454,8.35885,9.18326,B,9.86%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
CLORAZEPATE 15 MG TABLET,51672404401,0.43193,2.42219,G,460.78%,Help Desk,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-80 MG TABLET,66582031554,8.22808,9.03691,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NITRO-DUR 0.8 MG/HR PATCH,00085081930,5.14546,5.45311,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ANDROGEL 1%(5G) GEL PACKET,00051845030,3.14144,3.45245,B,9.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HUMIRA 40 MG/0.8 ML PEN,00074433902,1844.30216,1990.00203,B,7.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
EMEND 40 MG CAPSULE,00006046405,86.15567,93.9114,B,9.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HYZAAR 100-25 TABLET,00006074754,4.78973,5.0809,B,6.08%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ANDROGEL 1.62%(1.25G) GEL PCKT,00051846231,12.30493,13.52337,B,9.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
COZAAR 50 MG TABLET,00006095231,3.17967,3.3678,B,5.92%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINGULAIR 4 MG TABLET CHEW,00006171131,6.63414,7.03073,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ALINIA 500 MG TABLET,67546011112,49.9382,54.39023,B,8.92%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-10 MG TABLET,66582031182,8.28946,9.10434,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
EMEND TRIPACK,00006386203,189.935,207.03105,B,9.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
PROPECIA 1 MG TABLET,00006007154,2.94479,3.1206,B,5.97%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-40 MG TABLET,66582031374,8.23952,9.04949,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX TWISTHALR 220 MCG #120,00085134101,270.81519,289.78037,B,7.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-80 MG TABLET,66582031566,8.22808,9.03691,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX HFA 200 MCG INHALER,00085433401,14.56861,15.59133,B,7.02%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
MAXALT MLT 10 MG TABLET,00006380118,33.83072,35.82877,B,5.91%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ANDROGEL 1%(2.5G) GEL PACKET,00051842530,6.15707,6.76662,B,9.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ZETIA 10 MG TABLET,66582041474,8.35885,9.18326,B,9.86%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NITRO-DUR 0.3 MG/HR PATCH,00085331535,4.73467,5.01993,B,6.02%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX TWISTHALER 110 MCG #30,00085146102,148.6084,159.22053,B,7.14%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HUMIRA PEN PSORIASIS START PK,00074433907,1845.46427,1991.25595,B,7.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
REMERON 15 MG TABLET,00052010530,5.06009,5.36471,B,6.02%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
MAXALT 10 MG TABLET,00006026718,33.4125,35.38585,B,5.91%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINGULAIR 5 MG TABLET CHEW,00006927531,6.6057,7.00059,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
