RXAtom_AUI,Most_Useful_Source_CODE,Source_Abbreviation,Term_Type_In_Source_TTY,Drug_String,Old_RXConcept_CUI,New_RXConcept_CUI
,,RXNORM,,,103078,107271
,,RXNORM,,,105403,1743704
,,RXNORM,,,105403,1743720
,,RXNORM,,,105403,1743726
,,RXNORM,,,105403,1743729
,,RXNORM,,,107133,1741379
,,RXNORM,,,1095496,1741312
,,RXNORM,,,1114880,1359745
,,RXNORM,,,1114880,1743938
,,RXNORM,,,1114880,1743939
,,RXNORM,,,1114880,1743941
,,RXNORM,,,1114880,1743950
,,RXNORM,,,1114888,1743950
,,RXNORM,,,1114888,1743951
,,RXNORM,,,1114888,1743953
,,RXNORM,,,1115488,1742223
,,RXNORM,,,1117555,1741294
,,RXNORM,,,1117557,1741974
,,RXNORM,,,1117557,1741975
,,RXNORM,,,1117559,1742030
,,RXNORM,,,1233674,1597827
,,RXNORM,,,1244231,1244233
,,RXNORM,,,1292740,1743869
,,RXNORM,,,1292740,1743870
,,RXNORM,,,1292740,1743871
,,RXNORM,,,1292751,1743877
,,RXNORM,,,1292751,1743878
,,RXNORM,,,1292751,1743879
,,RXNORM,,,1294624,1740433
,,RXNORM,,,1294624,1740437
,,RXNORM,,,1551892,1741986
,,RXNORM,,,1673014,849418
,,RXNORM,,,202209,1741406
,,RXNORM,,,204112,1742218
,,RXNORM,,,207189,1743707
,,RXNORM,,,207189,1743722
,,RXNORM,,,207189,1743729
,,RXNORM,,,208578,1550534
,,RXNORM,,,213520,1741763
,,RXNORM,,,213522,1741766
,,RXNORM,,,213989,1741759
,,RXNORM,,,213990,1741572
,,RXNORM,,,238643,1741378
,,RXNORM,,,238644,1741403
,,RXNORM,,,238644,1741405
,,RXNORM,,,238644,1741410
,,RXNORM,,,238644,1741420
,,RXNORM,,,238644,1741423
,,RXNORM,,,245161,1741290
,,RXNORM,,,245161,1741293
,,RXNORM,,,245161,1741295
,,RXNORM,,,283517,1741261
,,RXNORM,,,283517,1741264
,,RXNORM,,,283517,1741267
,,RXNORM,,,283517,1741270
,,RXNORM,,,284186,727866
,,RXNORM,,,284270,1661176
,,RXNORM,,,284502,1741263
,,RXNORM,,,284502,1741265
,,RXNORM,,,284502,1741268
,,RXNORM,,,284502,1741271
,,RXNORM,,,310354,1740864
,,RXNORM,,,310354,1740865
,,RXNORM,,,310354,1740866
,,RXNORM,,,312130,1743547
,,RXNORM,,,312130,1743549
,,RXNORM,,,314096,1740894
,,RXNORM,,,314096,1740898
,,RXNORM,,,314096,1740900
,,RXNORM,,,392045,141988
,,RXNORM,,,404344,1741900
,,RXNORM,,,404344,1741903
,,RXNORM,,,404547,1741899
,,RXNORM,,,404547,1742405
,,RXNORM,,,545408,1742396
,,RXNORM,,,545410,1742229
,,RXNORM,,,563223,564420
,,RXNORM,,,597965,240698
,,RXNORM,,,602741,580285
,,RXNORM,,,603574,1741301
,,RXNORM,,,603574,1741302
,,RXNORM,,,603578,1742226
,,RXNORM,,,617606,1742402
,,RXNORM,,,751997,605320
180379,373558002,SNOMEDCT_US,PT,Imidocarb,5686,1740237
180380,96108000,SNOMEDCT_US,PT,Imidocarb,5686,1740237
180383,96108000,SNOMEDCT_US,FN,Imidocarb (product),5686,1740237
180384,373558002,SNOMEDCT_US,FN,Imidocarb (substance),5686,1740237
398920,d04250,MMSL,GN,chromic chloride hexahydrate,21009,1740011
398921,C022990,MSH,CE,chromic chloride hexahydrate,21009,1740011
428141,96110003,SNOMEDCT_US,PT,Imidocarb dipropionate,27447,1740238
428142,96110003,SNOMEDCT_US,FN,Imidocarb dipropionate (substance),27447,1740238
437839,C005106,MSH,CE,"((((1,1,3,3-tetramethylbutyl)cresoxy)ethoxy)ethyl)dimethylbenzylammonium chloride",29829,1742958
437840,C005106,MSH,CE,"benzyldimethyl(2-(2-(4-(1,1,3,3- tetramethylbutyl)-tolyloxy)ethoxy)ethyl) ammonium chloride",29829,1742958
437843,2799001,SNOMEDCT_US,PT,Methylbenzethonium chloride,29829,1742958
437844,C005106,MSH,CE,methylbenzethonium chloride,29829,1742958
437849,2799001,SNOMEDCT_US,FN,Methylbenzethonium chloride (substance),29829,1742958
471742,79271005,SNOMEDCT_US,SY,Tremetone,38504,1740429
703539,13952009,SNOMEDCT_US,PT,Oil of hops,90969,1735039
703540,13952009,SNOMEDCT_US,FN,Oil of hops (substance),90969,1735039
707035,4350,MMSL,BD,"Hydrogen Peroxide, 3% topical solution",1442211,91349
790495,00696,MDDB,CD,Methylprednisolone Sodium Succinate For Inj 1000 MG,105403,1743726
790510,325409000,SNOMEDCT_US,PT,Methylprednisolone 1g injection powder vial,105403,1743726
790511,325409000,SNOMEDCT_US,FN,Methylprednisolone 1g injection powder vial (product),105403,1743726
790512,374082005,SNOMEDCT_US,FN,Methylprednisolone sodium succinate 1g powder for injection solution vial (product),105403,1743726
790513,325420000,SNOMEDCT_US,FN,Methylprednisolone 1g powder and solvent for injection solution vial (product),105403,1743726
790514,374082005,SNOMEDCT_US,PT,Methylprednisolone sodium succinate 1g powder for injection solution vial,105403,1743726
790515,325420000,SNOMEDCT_US,PT,Methylprednisolone 1g powder and solvent for injection solution vial,105403,1743726
799698,8,MMSL,BD,"Albutein, 25% intravenous solution",107133,1741379
805634,2297,MMSL,BD,"Fludara, 50 mg intravenous powder for injection",108475,1740860
